mode,band_low,band_high,n_uncertain,thr_policy,threshold,precision,recall,tp,fp,fn,tn,fnr,fpr,fdr
band_0.25_0.50,0.25,0.5,1358,fixed,0.45,0.18556085918854415,0.751207729468599,311.0,1365.0,103.0,1531.0,0.24879227053140096,0.4713397790055249,0.8144391408114559
band_0.25_0.50,0.25,0.5,1358,fixed,0.48,0.18294959551960174,0.7101449275362319,294.0,1313.0,120.0,1583.0,0.2898550724637681,0.45338397790055246,0.8170504044803982
band_0.25_0.50,0.25,0.5,1358,fixed,0.5,0.1860166773572803,0.7004830917874396,290.0,1269.0,124.0,1627.0,0.2995169082125604,0.4381906077348066,0.8139833226427197
band_0.25_0.55,0.25,0.55,1790,auto95,0.15,0.1415866239772323,0.961352657004831,398.0,2413.0000000000005,16.0,482.99999999999955,0.03864734299516908,0.8332182320441991,0.8584133760227677
band_0.25_0.55,0.25,0.55,1790,auto90,0.15,0.1415866239772323,0.961352657004831,398.0,2413.0000000000005,16.0,482.99999999999955,0.03864734299516908,0.8332182320441991,0.8584133760227677
band_0.25_0.55,0.25,0.55,1790,fixed,0.05,0.12886115444617785,0.9975845410628019,413.0,2792.0,1.0,104.0,0.0024154589371980675,0.9640883977900553,0.8711388455538221
band_0.25_0.55,0.25,0.55,1790,fixed,0.08,0.13115802943058222,0.9903381642512077,410.0,2716.0,4.0,180.0,0.00966183574879227,0.9378453038674033,0.8688419705694178
band_0.25_0.55,0.25,0.55,1790,fixed,0.1,0.13214285714285715,0.9830917874396136,407.0,2673.0,7.0,223.0,0.016908212560386472,0.9229972375690608,0.8678571428571429
band_0.25_0.55,0.25,0.55,1790,fixed,0.12,0.13440320962888666,0.9710144927536232,402.0,2589.0,12.0,307.0,0.028985507246376812,0.8939917127071824,0.8655967903711134
band_0.25_0.55,0.25,0.55,1790,fixed,0.15,0.1415866239772323,0.961352657004831,398.0,2413.0000000000005,16.0,482.99999999999955,0.03864734299516908,0.8332182320441991,0.8584133760227677
band_0.25_0.55,0.25,0.55,1790,fixed,0.18,0.15047021943573669,0.927536231884058,384.0,2167.9999999999995,30.0,728.0000000000005,0.07246376811594203,0.7486187845303865,0.8495297805642633
band_0.25_0.55,0.25,0.55,1790,fixed,0.2,0.15751383567475521,0.893719806763285,370.0,1979.0000000000002,44.0,916.9999999999998,0.10628019323671498,0.6833563535911603,0.8424861643252448
band_0.25_0.55,0.25,0.55,1790,fixed,0.23,0.17115384615384616,0.8599033816425121,356.0,1723.9999999999998,58.0,1172.0000000000002,0.14009661835748793,0.5953038674033149,0.8288461538461538
band_0.25_0.55,0.25,0.55,1790,fixed,0.25,0.1805411030176899,0.8381642512077294,347.0,1574.9999999999998,67.0,1321.0000000000002,0.16183574879227053,0.5438535911602209,0.8194588969823101
band_0.25_0.55,0.25,0.55,1790,fixed,0.28,0.1814814814814815,0.8285024154589372,343.0,1547.0,71.0,1349.0,0.17149758454106281,0.5341850828729282,0.8185185185185185
band_0.25_0.55,0.25,0.55,1790,fixed,0.3,0.18167202572347266,0.8188405797101449,339.0,1527.0000000000002,75.0,1368.9999999999998,0.18115942028985507,0.527279005524862,0.8183279742765274
band_0.25_0.55,0.25,0.55,1790,fixed,0.32,0.1806836679327184,0.8043478260869565,333.0,1510.0000000000002,81.0,1385.9999999999998,0.1956521739130435,0.5214088397790057,0.8193163320672816
